Coded,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
p159,0.0480409280524247,0.0446711591553782,0.4038271923304461,-0.581392162067867,0.048784187612821,0.0049669743488615,0.0281892909508062,0.0026032524062163,0.0119268305447264,0.0347741584879328,8.97357382855756,17040.74078849567,0.302026606798841
p162,0.04534531085353,0.0424465979226253,0.3864719755130713,-0.7531144563199357,0.0412966029404385,0.0058918460534898,0.0254761803472326,0.0240192266215063,0.0134971348286416,0.0297702544031311,8.895072908826334,17321.678859952834,0.3002659441015605
p186,0.0533006646260644,0.0515646937666275,0.4115818481753773,-0.4849583965061837,0.0331550190233715,0.0094817900086773,0.0203494136663138,0.000315870999609,0.0138687883208894,0.04151147123609,9.290799391633529,16321.060722220633,0.3045360490507384
p189,0.0483758936993342,0.0507786809476288,0.4222772074202676,-0.4874286202512611,0.0437861409960219,0.0052609137264015,0.0200622588276305,0.000742804069254,0.0134457751773728,0.0398903993110142,9.190157619171304,17784.85520361991,0.3028940137523752
p191,0.0452849468305482,0.0433681093771578,0.4257699212815909,-0.5955183446117018,0.050959812180638,0.0044360585554481,0.0380096639506513,0.0020088631786585,0.0125990931271003,0.0378375868894719,8.790841642498734,18003.352207337844,0.2972885881323942
p192,0.0459991298673047,0.0448268482789779,0.3819213199243653,-0.6104714947875703,0.0488780308227773,0.0053373002459798,0.0272050374659058,0.0039170416922407,0.011817250380683,0.0358619601412292,9.31275301618112,16195.739378524455,0.2956443165275012
p193,0.0512740632798411,0.0530176997759522,0.3869651541922439,-0.5048447148399788,0.0406746935281152,0.0113856846208491,0.0174006088635494,0.0025661718209803,0.0147041093644692,0.0384747773183482,9.29519514016649,19577.16643290406,0.3027377547860616
p194,0.0504591433904296,0.0475457227333542,0.4146776564642143,-0.5928790571678697,0.0476701739317156,0.0055688277365752,0.030770943722436,0.0018495732878545,0.0128053187096347,0.0446877719231595,8.75187479559307,18797.60998331709,0.3023735980575147
p197,0.0535876425041827,0.0545555075677989,0.4200225672152834,-0.4693223804521224,0.0333839150227617,0.0076223609976265,0.0194047283354733,0.0032434140202715,0.0133477296603245,0.0436372067234737,9.039733920859106,17511.300513598693,0.3015446869771604
p202,0.0489065431865431,0.046077859005859,0.4333396333396333,-0.6208998676998677,0.0296352296352296,0.0051527877527877,0.0313283907767907,0.0032529064683424,0.0134435607635607,0.0398605443205443,9.152209336609337,17822.111094311094,0.2955584955584955
p203,0.0485339366515837,0.0475602106900452,0.4717901583710407,-0.6482752403846153,0.0452488687782805,0.0061064903846153,0.0269840717123868,0.0155523163659502,0.0136309389140271,0.0383976385746606,9.436970517533936,16370.20036764706,0.3034502262443438
p204,0.0454047713890478,0.0411486528865165,0.3924337126013051,-0.6252715882178268,0.0522622091212619,0.0046416236338748,0.0336432474100656,0.0013729516986666,0.0114431478275984,0.0311090405075575,8.98656845291983,15064.499583553628,0.3046685449001614
p205,0.0551162615885742,0.0545744591998663,0.4053286561429884,-0.517382861438236,0.0337425874885158,0.0081515159107992,0.0197062360227177,0.0010959830280631,0.012136448676188,0.047634448342103,9.051935479829616,20191.91326317548,0.2996742671009772
