artistName,trackName
Gippy Grewal,DJ Wala
Y2A,Mote Mote Peg
GKhan,Jee Karda
Kool & The Gang,Celebration
Vishal-Shekhar,Ishq Bulaava
Vinod Rathod,Koi Na Koi Chahiye
Shankar-Ehsaan-Loy,Tere Naina
Sandesh Shandilya,Suraj Hua Maddham
Jatin-Lalit,Bole Chudiyan
Kavita Krishnamurthy,Koi Mil Gaya
Joi Barua,Dil Dhadakne Do
Shaan,Woh Ladki Hai Kahan
Salim–Sulaiman,Yeh Honsla (Sad Version)
Shreya Ghoshal,"Boom Padi (From ""Maja Ma"")"
Anuradha Paudwal,Dil Hai Ki Manta Nahin
Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")"
Vishal Dadlani,Ik Junoon (Paint It Red)
Mission ISRO with Harsha Bhogle,Saare Jahan se Accha
Original Podcast ,Forge your future ( Audio book summary ) 
Sky Sports Cricket Podcast,Australia win T20 World Cup after crushing New Zealand
Maha Bharat with Dhruv Rathee,Who owns our forests?
The Late Take with Anupama & Anmol,"Bunty Aur Babli 2, Dhamaka, Garuda Gamana Vrisha Bhavana, Churuli | The Late Take with Anupama & Anmol"
Khelneeti - Daily Hindi Cricket Podcast,"कानपुर का किंग कौन. The king of Kanpur? ft. Rajeev Mishra, Saba Karim & Nikhil Chopra"
ESPNcricinfo Stump Mic Podcast,Away wins are now the norm
Navbharat Gold – Hindi Podcast | Hindi Audio Infotainment | Hindi Audio News,"29 November 2021 Hindi News:आज की ताज़ा ख़बरें 29 नवंबर 2021 Latest Hindi news,मुख्य समाचार हिंदी मे| फिर पेपर लीक, बार-बार क्यों होता है ऐसा? Then paper leak, why does this happen again and again?"
The Stories of Mahabharata,Mahabharata Episode 1: Beginnings
Karthik Rao,Socha Na Tha
Shivam Pathak,Ek Dil Ek Jaan
Neeti Mohan,Nainowale Ne
Ishaan Khan,Wallah Wallah
Sajid Khan,"Bhai Ka Birthday (From ""ANTIM - The Final Truth"")"
Sachin Sanghvi,Happy B'Day
Lijo George,Kamariya
Eddie Summer,Shape of You
Amrita Singh,Valentine's Mashup 2019
Kay Vee Singh,Jatti da Crush
