Rashmeet Kaur,Bajre Da Sitta
Rishi Rich Project,Freak (feat. Jay Sean & Juggy D)
Flegma,The Dance Of Trance
Pondora,Galeira
Dimitri Vegas & Like Mike,Get in Trouble (So What)
Reality Test,Sapane
Abraxis,Old Gods
Mohammed Irfan,Phir Mohabbat
Prateek Kuhad,Just to Be With You
Anuv Jain,Mishri
OAFF,So Good
Dhruv Kapoor,What Is Love
When Chai Met Toast,Joy of Little Things
Anupam Roy,Aisi Raaton
Rono,Main Aur Tum
The PropheC,Hove Mere Naal
Ninja,Oh Kyu Ni Jaan Ske
Shankar-Ehsaan-Loy,Tere Naina
Vishal-Shekhar,Khuda Jaane
Shaarib Toshi,"Bandeya (feat. Arijit Singh) - From ""Dil Juunglee"""
KK,Zindagi Do Pal Ki
Javed Bashir,Tera Naam Japdi Phiran
Rashid Khan,Aaoge Jab Tum
Jatin-Lalit,Kabhi Khushi Kabhie Gham
Madan Mohan,Main Yahaan Hoon
Neha Kakkar,Pee Loon-Ishq Sufiyana
Bayaan,Teri Tasveer
Arko,Dariya
Raju Singh,"Soniyo (From ""RAAZ - The Mystery Continues"")"
Syn Cole,Getaway
Roop Kumar Rathod,Maula Mere Maula
Mustafa Zahid,Hum Jee Lenge
Mohit Chauhan,Tum Ho
Shekhar Ravjiani,Tumse Hi Tumse
Asees Kaur,Tujhe Kaise Pata Na Chala
Yo Yo Honey Singh,Aankhon Aankhon
Gajendra Verma,Ik Kahani
HYUKOH,Feels Like Roller-Coaster Ride
Javed Ali,Saudebazi (Encore)
A.R. Rahman,Nadaan Parinde
Shafqat Amanat Ali,Darmiyaan
QB,Humsafar
Amaal Mallik,Salamat
Madhur Sharma,Kali Kali Zulfon Ke
Ali Zafar,Jhoom R&B Mix
The Local Train,Choo Lo
Zephyrtone,Tere Bina
Bilal Saeed,Baari
Sachin-Jigar,"Haareya (From ""Meri Pyaari Bindu "")"
Rochak Kohli,Dil Na Jaaneya
FISHER,Stop It
Stephen Sanchez,Until I Found You
Flower Face,Cornflower Blue
Clinton Kane,I GUESS I'M IN LOVE
mrld,An Art Gallery Could Never Be As Unique As You
New West,Those Eyes
Novo Amor,Ontario
Abe Parker,Stupid Face
Ramz,Barking
Tegi Pannu,Roll Deep
Rich Amiri,Never Fail
Afroman,Crazy Rap (Colt 45 & 2 Zig Zags)
LeAnn Rimes,I Need You
Jan Metternich,Buried Alive
Old Sea Brigade,Hope
Ditty,Deathcab
John Vincent III,Next to You
dhruv,airplane thoughts
Chinmayi,Titli
Sandesh Shandilya,Suraj Hua Maddham
Udit Narayan,Pehla Nasha
Ajay-Atul,Abhi Mujh Mein Kahin
Lata Mangeshkar,Joote De Do Paise Le Lo
Sonu Nigam,Main Agar Kahoon
Kumar Sanu,Chura Ke Dil Mera
Salim–Sulaiman,O Re Piya
Asim Azhar,Jo Tu Na Mila
Clinton Cerejo,Hey Ya !
Rashid Ali,Kabhi Kabhi Aditi
Tones And I,Fly Away
Yasser Desai,"Dil Ko Karaar Aaya (From ""Sukoon"")"
Jimin,With you
The Wailers,"Get Up, Stand Up"
James Hype,Disconnected
Matt Sassari,Give It To Me - Full Vocal Mix
Sandor,Heartbeat
Vintage Culture,You Give Me A Feeling
AFROJACK,To The Floor
Martin Ikin,Headnoise (Get Hype)
D.O.D,All Mine
Munn,Me & My Friends
Bruno Mars,Talking to the Moon
Hayd,Closure
Tate McRae,you broke me first
Zevia,"life, im over you"
Bazzi,Why
Coldplay,Something Just Like This - Tokyo Remix
Russ,3AM
Pop Smoke,Mood Swings (feat. Lil Tjay)
Ber,Meant To Be
Ariana Grande,positions
WATTS,Feels (feat. Khalid)
Foster,fools (can't help falling in love) (feat. Sody)
Ali Gatie,Can't Let You Go
Shallou,Older
Rae Sremmurd,This Could Be Us
Justin Bieber,Confident
Belly,Might Not
DJ Khaled,GREECE (feat. Drake)
PRETTYMUCH,Eyes Off You
Jaymes Young,Infinity
Wafia,Heartburn
Regard,You
Selena Gomez,Fetish (feat. Gucci Mane)
Elley Duhé,MIDDLE OF THE NIGHT
Tove Lo,Habits (Stay High)
Why Don't We,8 Letters
Juice WRLD,Lucid Dreams
Jeremy Zucker,comethru
YBN Nahmir,Bounce Out With That
B.o.B,Nothing on You
Witt Lowry,Into Your Arms (feat. Ava Max)
Cozz,Hustla’s Story (feat. Kendrick Lamar)
Tripti Shakya,Kabhi Ram Banke Kabhi Shyam Banke
Hansraj Raghuwanshi,Radhe Radhe
ASHU-07,Ram Siya Ram Lofi
Jahidul Hasan,Kun Faya Kun Lofi
VS42,Lamhe 1000
Shivoryx,Woh Raat
Sohan Rahman,Kya Mujhe Pyaar Hai - Lofi
Ziddant,Bhajman Radhe
Krewq,Labon Ko
Kelin Dsylva,Raza Hai Kya Teri
Nesz,Sajna Ji
WORMONO,Laaree Chootee
Prashant Katheriya,Jiske Aane Se Mukammal
Venkat's Music,"Friendship Mashup, Vol. 02"
AUDIOCHILLY,ARAMBH HAI PRACHAND
Jay Guldekar,Street Boy
Marathi DJs,Rat Din Dhyas Tuza Mazi Mala Bhul G Vs Lagir Zal Ji Mashup
Nikhar Juneja,Ek Kutta Hu Mai
Aelo,Masakali Lofi
Vicky Singh,Tum Kyu Chale Ate Ho (Lofi)
Vasu Kainth,Loriyan
Rizwan Rick,Abe Gandu Gyani
SS Animations,Hai Katha Sangram Ki
It's DPK,Let Me Down Slowly X Aaya Na Tu - Lofi Mix
Satyarthi Prateek,Shiva Shiva Shambho
Manan mp3,Maine Tujhe Dekha Haste Hue Galo Mein
Rudra,Arcade X Aaya na tu (Mashup)
Coffeekids,Bhare Naina - Lo-Fi Mix
