,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q16,Q17,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,TOTAL
P116,1,2,3,4,3,1,1,2,3,1,1,2,2,3,1,3,1,1,4,39
P117,3,1,3,3,2,1,0,0,0,0,3,2,4,2,2,2,1,3,3,35
P118,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,25
P119,2,1,0,1,2,1,2,1,0,1,1,0,1,2,2,3,1,3,3,27
P120,1,0,0,1,1,0,0,0,0,1,2,1,2,0,1,1,1,1,2,15
P121,1,0,1,1,1,0,1,1,1,1,2,1,2,2,2,2,2,2,3,26
P122,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,1,0,4,4,17
P123,1,1,2,1,1,1,3,2,2,2,1,2,2,1,1,2,1,3,3,32
P124,1,2,2,2,3,1,3,1,1,2,1,1,1,1,2,2,3,3,3,35
P125,2,1,3,2,0,3,1,1,1,2,1,3,2,1,1,2,1,4,4,35
P126,2,1,3,1,3,0,1,3,3,1,1,2,3,1,3,0,4,4,4,40
P127,4,1,1,1,4,4,0,4,0,2,2,3,2,3,1,3,2,1,1,39
P128,1,4,2,1,3,4,1,4,2,3,1,4,3,3,1,2,3,1,2,45
P129,0,4,3,2,1,3,3,1,1,1,3,1,1,1,3,3,3,1,1,36
P130,0,3,3,3,3,3,2,2,1,3,3,3,3,2,3,2,2,1,1,43
P131,0,2,1,3,3,4,1,1,0,4,3,3,2,4,3,3,2,1,2,42
P132,2,3,2,1,1,0,0,1,1,2,1,1,1,2,2,1,2,1,1,25
P133,1,3,1,2,3,3,3,3,2,1,3,3,2,3,3,3,2,2,1,44
P134,2,3,3,3,3,3,0,3,1,1,3,3,1,2,4,2,2,0,4,43
P135,2,1,3,2,3,3,0,3,2,2,2,2,2,3,1,2,2,2,1,38
P136,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,33
P137,2,2,1,1,3,3,2,1,2,3,3,3,2,3,3,2,3,1,1,41
P138,2,1,0,0,2,0,2,0,0,3,2,3,3,2,1,4,2,0,1,28
P139,1,2,2,1,3,3,0,3,0,3,2,2,1,2,1,1,3,0,1,31
P140,1,3,3,2,4,2,1,2,1,4,3,2,2,3,0,3,2,2,2,42
